"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central African Republic","CAF","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","1.63999998569489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.61245012283325","","","","","",
"Canada","CAN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1300010681152","","","","","49.3499984741211","","","","","","","","","","67.75","","","","","79.4000015258789","","","","82.634391784668","82.75","83.580940246582","84.3148803710938","84.7867736816406","85.3110198974609","84.4700012207031","86.4637603759766","87.1723480224609","87.4373016357422","88.1384048461914","86.5199966430664","89.1743698120117","89.5703811645508","",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","21.0200004577637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7200012207031","81.7399978637695","81.629997253418","82.4800033569336","85.179443359375","84.6399993896484","85.1900024414062","84.5400009155273","84.8302459716797","85.6800003051758","86.6500015258789","86.8700637817383","84.5627288818359","83.9166259765625","84.2772216796875","",
"Channel Islands","CHI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8899993896484","","","45.9000015258789","50.0200004577637","","47.1699981689453","50.5699996948242","51.8600006103516","52.2999992370605","52.8600006103516","53.0999984741211","54.6337776184082","56.189998626709","56.8787803649902","59.2599983215332","58.4394226074219","61.4799995422363","61.2844848632812","62.3150634765625","65.2799987792969","66.9972381591797","66.629997253418","68.4254989624023","",
"China","CHN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","6.65000009536743","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3199996948242","","","","","","","","","","31.7700004577637","","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5900001525879","","","","","","","","","","","","","","13.5190649032593","9.99059677124023","14.1800003051758","","11.1527996063232","","","9.19784164428711","","16.8099994659424","14.0821866989136","","",
"Cameroon","CMR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1700000762939","","","","21.1658706665039","","","","14.257869720459","","","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9228591918945","19.8500003814697","","","27.2600002288818","","25.2189807891846","","7.74231767654419","","","","",
"Congo, Rep.","COG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","8.77000045776367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9904499053955","","","","","","","","","",
"Colombia","COL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6800003051758","","","","","","","","","32.2900009155273","33.2299995422363","34.6800003051758","35.5499992370605","32.2700004577637","36.5200004577637","38.4599990844727","37.9799995422363","38.7999992370605","39.9099998474121","41.0099983215332","42.7700004577637","43.8699989318848","44.7400016784668","46.5800018310547","47.7200012207031","49.0900001525879","50.5800018310547","53.1599998474121","53.7000007629395","56.0800018310547","57.0241394042969","",
"Comoros","COM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3353881835938","","","","","","","18.9193954467773","22.7917194366455","","",
"Cabo Verde","CPV","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0400009155273","","","","","","","","","",
"Costa Rica","CRI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","10.6300001144409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0599994659424","30.0200004577637","29.8600006103516","30.8799991607666","31.2800006866455","32.189998626709","33.2000007629395","33.4900016784668","33.5900001525879","34.4700012207031","35.25","36.4099998474121","37.6699981689453","35.7299995422363","36.0999984741211","36.6500015258789","37.3199996948242","38.3899993896484","38.6699981689453","40.0400009155273","40.9799995422363","39.9117279052734","",
"Caribbean small states","CSS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3499984741211","","","","","","","","","","57.4099998474121","","","","","","","55.3308181762695","","","","","",
"Curacao","CUW","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7848739624023","","51.0099983215332","","","","",
"Cayman Islands","CYM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5599975585938","77.2900009155273","","","","","","88.1100006103516","90.1999969482422","","","","","","","","","",
