country,country_code,year,GB.XPD.RSDV.GD.ZS,indicator,indicator_code
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,0.730408825457214,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2015,0.77427677943398,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2014,0.739497583069676,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2013,0.713282200200463,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2012,0.683190787679629,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2011,0.713087244502671,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2010,0.734222303398812,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2021,1.93938196438019,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2020,1.6793110299901,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2019,1.48320666885718,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2018,1.45539717053069,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2017,1.37182465558185,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2016,1.42078498958226,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2015,1.3812952582323,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2014,1.36923940748605,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2013,1.2225256505665,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2012,1.25348447273364,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2011,1.1406343017857,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Low & middle income,LMY,2010,1.12087830725036,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
